identifier	file	bytes
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 05 Tomus Quintus, Novvm Iesv Christi D.N. Testamentvm 1571_djvu.txt	3906131
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 06 Tomus Sextus, Lexicon Graecum 1572_djvu.txt	6582224
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 07 Tomus Septimus, Communes 1572 _djvu.txt	6318073
biblia-sacra-hebraice-chaldaice-graece-latine-benedicti-ariae-montani-sacrorum-bibliorum-tomus-1569	Biblia Sacra Hebraice, Chaldaice, Graece et Latine [cura et studio Benedicti Ariæ Montani] Sacrorum Bibliorum 08 Tomus Octavus, Liber Ioseph 1571 _djvu.txt	3140173
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 1) 1657_djvu.txt	8853605
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 2) 1657_djvu.txt	6712969
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 3) 1657_djvu.txt	9844921
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 4) 1657_djvu.txt	6870366
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 5 Novum Testamentum) 1657 IC_djvu.txt	6996075
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 5 Novum Testamentum) 1657 PB_djvu.txt	8720575
biblia-sacra-polyglotta-complectentia-edidit-brianus-waltonus-lombart-hollar-roycroft-1657	Biblia Sacra Polyglotta Complectentia [Edidit Brianus Waltonus, Pierre Lombart, Václav Hollar] Imprinted London by Thomas Roycroft (Tomus 6) 1657_djvu.txt	7851810
bibliasiriechkni04luik	bibliasiriechkni04luik_djvu.txt	1767383
bibliorumsacroru00flor	bibliorumsacroru00flor_djvu.txt	10427
bibliorumsacroru01saba	bibliorumsacroru01saba_djvu.txt	7326955
BibliorumSacrorumLatinaeVersionesAntiquaeSeuVetusItalicaEtCaeterae	Bibliorum_sacrorum_latinae_versiones_antTomusTertius_djvu.txt	9036487
bim_early-english-books-1475-1640_lexicon-heptaglotton-_castell-edmund_1669	bim_early-english-books-1475-1640_lexicon-heptaglotton-_castell-edmund_1669_djvu.txt	15749300
bim_early-english-books-1641-1700_biblia-sacra-polyglotta-_bible-polyglot_1657_2	bim_early-english-books-1641-1700_biblia-sacra-polyglotta-_bible-polyglot_1657_2_djvu.txt	8999970
bim_eighteenth-century_novum-testamentum-graece_1796_1	bim_eighteenth-century_novum-testamentum-graece_1796_1_djvu.txt	1377455
bim_eighteenth-century_novum-testamentum-graece_1806_2	bim_eighteenth-century_novum-testamentum-graece_1806_2_djvu.txt	1621379
bim_eighteenth-century_septuaginta-interpretum-_grabe-joannes-ernestus_1707_1	bim_eighteenth-century_septuaginta-interpretum-_grabe-joannes-ernestus_1707_1_djvu.txt	1199980
bub_gb_8JNhAAAAcAAJ	bub_gb_8JNhAAAAcAAJ_djvu.txt	429694
bub_gb_ardIAAAAcAAJ	bub_gb_ardIAAAAcAAJ_djvu.txt	4214035
bub_gb_CGUUAAAAQAAJ	bub_gb_CGUUAAAAQAAJ_djvu.txt	1184605
bub_gb__sQopDoeVQ8C	bub_gb__sQopDoeVQ8C_djvu.txt	1907703
codexalexandrinu00woid	codexalexandrinu00woid_djvu.txt	2023435
codex-alexandrinus	CodexAlexandrinus_djvu.txt	10194071
codexamiatinus00jero	codexamiatinus00jero_djvu.txt	1302611
CodexApocryphusNoviTestamenti1	Codex_apocryphus_Novi_Testamenti_djvu.txt	1410758
codexargenteuss00wulfgoog	codexargenteuss00wulfgoog_djvu.txt	643737
codexargenteussi0000kleb	codexargenteussi0000kleb_djvu.txt	16699
complutensianpolyglot	Volume 1/01Imgenes1a100_djvu.txt	690154
complutensianpolyglot	Volume 1/02Imgenes101a200_djvu.txt	744621
complutensianpolyglot	Volume 1/03Imgenes201a300_djvu.txt	744007
complutensianpolyglot	Volume 1/04Imgenes301a400_djvu.txt	740816
complutensianpolyglot	Volume 1/05Imgenes401a500_djvu.txt	732644
complutensianpolyglot	Volume 1/06Imgenes501a599_djvu.txt	701515
complutensianpolyglot	Volume 2 &3/07Imgenes1a98_djvu.txt	719129
complutensianpolyglot	Volume 2 &3/08Imgenes99a198_djvu.txt	733141
complutensianpolyglot	Volume 2 &3/09Imgenes199a298_djvu.txt	760578
complutensianpolyglot	Volume 2 &3/10Imgenes299a398_djvu.txt	790146
complutensianpolyglot	Volume 2 &3/11Imgenes399a498_djvu.txt	805451
complutensianpolyglot	Volume 2 &3/12Imgenes499a598_djvu.txt	806852
complutensianpolyglot	Volume 2 &3/13Imgenes599a698_djvu.txt	794929
complutensianpolyglot	Volume 2 &3/14Imgenes699a798_djvu.txt	770889
complutensianpolyglot	Volume 2 &3/15Imgenes799a898_djvu.txt	865981
complutensianpolyglot	Volume 2 &3/16Imgenes899a921_djvu.txt	222436
complutensianpolyglot	Volume 4/17Imgenes1a96_djvu.txt	762359
complutensianpolyglot	Volume 4/18Imgenes97a196_djvu.txt	776771
complutensianpolyglot	Volume 4/19Imgenes197a296_djvu.txt	776157
complutensianpolyglot	Volume 4/20Imgenes297a396_djvu.txt	752230
complutensianpolyglot	Volume 4/21Imgenes397a496_djvu.txt	836902
complutensianpolyglot	Volume 4/22Imgenes497a532_djvu.txt	329037
complutensianpolyglot	Volume 5/23Imgenes1a96_djvu.txt	585574
complutensianpolyglot	Volume 5/24Imgenes97a196_djvu.txt	630265
complutensianpolyglot	Volume 5/25Imgenes197a296_djvu.txt	627421
complutensianpolyglot	Volume 5/26Imgenes297a396_djvu.txt	617907
complutensianpolyglot	Volume 5/27Imgenes397a496_djvu.txt	615862
complutensianpolyglot	Volume 5/28Imgenes497a542_djvu.txt	258579
complutensianpolyglot	Volume 6/29Imgenes1a96_djvu.txt	762297
complutensianpolyglot	Volume 6/30Imgenes97a196_djvu.txt	810031
complutensianpolyglot	Volume 6/31Imgenes197a296_djvu.txt	810829
complutensianpolyglot	Volume 6/32Imgenes297a396_djvu.txt	720666
complutensianpolyglot	Volume 6/33Imgenes397a444_djvu.txt	328126
complutensianpolyglot	pdf spanish/1/Imgenes101a200_djvu.txt	744621
complutensianpolyglot	pdf spanish/1/Imgenes1a100_djvu.txt	687502
complutensianpolyglot	pdf spanish/1/Imgenes201a300_djvu.txt	743324
complutensianpolyglot	pdf spanish/1/Imgenes301a400_djvu.txt	741041
complutensianpolyglot	pdf spanish/1/Imgenes401a500_djvu.txt	712686
complutensianpolyglot	pdf spanish/1/Imgenes501a599_djvu.txt	714558
complutensianpolyglot	pdf spanish/2-3/Imgenes199a298_djvu.txt	750979
complutensianpolyglot	pdf spanish/2-3/Imgenes1a98_djvu.txt	718208
complutensianpolyglot	pdf spanish/2-3/Imgenes299a398_djvu.txt	777437
complutensianpolyglot	pdf spanish/2-3/Imgenes399a498_djvu.txt	794689
complutensianpolyglot	pdf spanish/2-3/Imgenes499a598_djvu.txt	817713
complutensianpolyglot	pdf spanish/2-3/Imgenes599a698_djvu.txt	811132
complutensianpolyglot	pdf spanish/2-3/Imgenes699a798_djvu.txt	762340
complutensianpolyglot	pdf spanish/2-3/Imgenes799a898_djvu.txt	868721
complutensianpolyglot	pdf spanish/2-3/Imgenes899a921_djvu.txt	226501
complutensianpolyglot	pdf spanish/2-3/Imgenes99a198_djvu.txt	729929
complutensianpolyglot	pdf spanish/4/Imgenes197a296_djvu.txt	776157
complutensianpolyglot	pdf spanish/4/Imgenes1a96_djvu.txt	763980
complutensianpolyglot	pdf spanish/4/Imgenes297a396_djvu.txt	752230
complutensianpolyglot	pdf spanish/4/Imgenes397a496_djvu.txt	838467
complutensianpolyglot	pdf spanish/4/Imgenes497a532_djvu.txt	320644
complutensianpolyglot	pdf spanish/4/Imgenes97a196_djvu.txt	777737
complutensianpolyglot	pdf spanish/5/Imgenes197a296_djvu.txt	630560
complutensianpolyglot	pdf spanish/5/Imgenes1a96_djvu.txt	585574
complutensianpolyglot	pdf spanish/5/Imgenes297a396_djvu.txt	613249
complutensianpolyglot	pdf spanish/5/Imgenes397a496_djvu.txt	610626
complutensianpolyglot	pdf spanish/5/Imgenes497a542_djvu.txt	252645
complutensianpolyglot	pdf spanish/5/Imgenes97a196_djvu.txt	629779
complutensianpolyglot	pdf spanish/6/Imgenes197a296_djvu.txt	810331
complutensianpolyglot	pdf spanish/6/Imgenes1a96_djvu.txt	762297
complutensianpolyglot	pdf spanish/6/Imgenes297a396_djvu.txt	719085
complutensianpolyglot	pdf spanish/6/Imgenes397a444_djvu.txt	328126
complutensianpolyglot	pdf spanish/6/Imgenes97a196_djvu.txt	809783
complutensian_polyglot_bible	cplowres_djvu.txt	20655414
ComplutensianPolyglotBibleOldTestamentNewTestament	01.ComplutensianPolyglot.OT.1520._djvu.txt	23564552
