mappingSort	KJVverseID	WLCsort	BHSsort
1152	87	2058	1774
1153	87	2059	1777
1154	87	2060	1778
1155	87	2061	1779
1156	87	2062	1781
1157	87	2063	1782
1158	87	2064	1784
1159	87	2065	1785
1160	88	2077	1788
1161	88	2078	1789
1162	88	2079	1790
1163	88	2080	1791
1164	88	2081	1792
1165	88	2082	1794
1166	88	2083	1796
1167	88	2084	1799
1168	88	2085	1801
1169	88	2086	1802
1170	88	2087	1803
1171	88	2088	1804
1172	88	2089	1805
1173	88	2090	1807
1174	89	2101	1809
1175	89	2102	1810
1176	89	2103	1811
1177	89	2104	1812
1178	89	2105	1813
1179	89	2106	1814
1180	89	2107	1815
1181	89	2108	1817
1182	89	2109	1818
1183	89	2110	1819
1184	89	2111	1821
1185	89	2112	1822
1186	89	2113	1823
1187	90	2124	1825
1188	90	2125	1826
1189	90	2126	1827
1190	90	2127	1828
1191	90	2128	1829
1192	90	2129	1830
1193	90	2130	1831
1194	90	2131	1832
1195	90	2133	1835
1196	91	2144	1837
1197	91	2145	1838
1198	91	2146	1839
1199	91	2148	1842
1200	91	2149	1843
1201	91	2150	1844
1202	91	2151	1845
1203	91	2152	1846
1204	91	2153	1848
1205	91	2154	1849
1206	91	2155	1850
1207	91	2156	1851
1208	91	2157	1853
1209	92	2168	1854
1210	92	2169	1855
1211	92	2170	1856
1212	92	2171	1858
1213	92	2172	1859
1214	92	2173	1860
1215	92	2174	1861
1216	92	2175	1862
1217	92	2177	1864
1218	92	2178	1866
1219	92	2179	1867
1220	92	2180	1870
1221	93	2191	1872
1222	93	2192	1873
1223	93	2193	1874
1224	93	2194	1875
1225	93	2195	1876
1226	93	2196	1877
1227	93	2197	1879
1228	94	2208	1880
1229	94	2209	1881
1230	94	2210	1882
1231	94	2211	1884
1232	94	2212	1886
1233	94	2213	1887
1234	94	2214	1889
1235	94	2215	1892
1236	94	2216	1893
1237	94	2217	1895
1238	94	2218	1896
1239	94	2219	1898
1240	94	2220	1901
1241	94	2221	1903
1242	94	2222	1904
1243	94	2223	1905
1244	94	2224	1906
1245	95	2235	1908
1246	95	2237	1910
1247	95	2238	1911
1248	95	2239	1912
1249	95	2240	1913
1250	95	2241	1914
1251	95	2242	1915
1252	95	2243	1916
1253	95	2244	1918
1254	95	2245	1919
1255	95	2246	1921
1256	95	2247	1922
1257	95	2248	1924
1258	95	2249	1925
1259	95	2250	1926
1260	95	2251	1927
1261	95	2252	1928
1262	96	2263	1930
1263	96	2264	1931
1264	96	2265	1934
1265	96	2266	1935
1266	96	2267	1937
1267	96	2268	1939
1268	96	2269	1940
1269	96	2270	1941
1270	96	2271	1942
1271	97	2282	1944
1272	97	2283	1945
1273	97	2284	1946
1274	97	2285	1947
1275	97	2286	1949
1276	97	2287	1951
1277	97	2288	1952
1278	97	2289	1953
1279	97	2290	1955
1280	97	2291	1956
1281	97	2292	1957
1282	97	2293	1959
1283	97	2294	1960
1284	97	2295	1962
1285	97	2296	1964
1286	97	2297	1965
1287	97	2298	1966
1288	98	2309	1968
1289	98	2310	1970
1290	98	2311	1971
1291	98	2312	1972
1292	98	2313	1974
1293	98	2314	1975
1294	98	2315	1976
1295	98	2316	1977
1296	98	2317	1979
1297	98	2318	1980
1298	98	2319	1981
1299	98	2320	1982
1300	98	2321	1984
1301	98	2322	1985
1302	98	2323	1986
1303	98	2324	1987
1304	99	2335	1989
1305	99	2337	1991
1306	99	2338	1992
1307	99	2339	1993
1308	99	2340	1994
1309	99	2341	1996
1310	99	2342	1997
1311	99	2343	1999
1312	99	2344	2001
1313	99	2345	2002
1314	100	2356	2004
1315	100	2357	2005
1316	100	2358	2006
1317	100	2359	2007
1318	100	2360	2008
1319	100	2361	2009
1320	100	2362	2010
1321	100	2363	2011
1322	100	2364	2012
1323	100	2365	2014
1324	101	2376	2016
1325	101	2377	2017
1326	101	2378	2018
1327	101	2379	2019
1328	101	2380	2020
1329	101	2381	2021
1330	101	2382	2022
1331	101	2383	2023
1332	101	2384	2024
1333	101	2385	2026
1334	102	2396	2028
1335	102	2397	2029
1336	102	2398	2030
1337	102	2399	2031
1338	102	2400	2032
1339	102	2402	2033
1340	102	2403	2034
1341	102	2404	2035
1342	102	2405	2036
1343	102	2406	2037
1344	102	2407	2039
1345	102	2408	2041
1346	102	2410	2042
1347	102	2411	2043
1348	103	2422	2045
1349	103	2423	2046
1350	103	2424	2048
1351	103	2425	2049
1352	103	2426	2051
1353	103	2427	2052
1354	103	2428	2053
1355	103	2429	2054
1356	103	2430	2055
1357	103	2431	2056
1358	103	2432	2057
1359	103	2433	2058
1360	103	2434	2059
1361	103	2435	2060
1362	103	2436	2062
1363	103	2437	2064
1364	103	2438	2066
1365	104	2449	2067
1366	104	2450	2068
1367	104	2451	2069
1368	104	2452	2070
1369	104	2453	2072
1370	104	2454	2073
1371	104	2455	2075
1372	105	2466	2077
1373	105	2467	2078
1374	105	2468	2079
1375	105	2469	2080
1376	105	2470	2081
1377	105	2471	2083
1378	105	2472	2084
1379	105	2473	2086
1380	105	2474	2087
1381	105	2475	2088
1382	105	2476	2089
1383	105	2477	2090
1384	105	2478	2091
1385	105	2480	2093
1386	105	2481	2094
1387	105	2482	2095
1388	105	2483	2096
1389	105	2484	2097
1390	105	2485	2098
1391	105	2486	2099
1392	105	2487	2100
1393	106	2498	2103
1394	106	2499	2104
1395	106	2500	2105
1396	106	2501	2106
1397	106	2502	2107
1398	106	2503	2109
1399	106	2504	2110
1400	106	2505	2111
1401	106	2506	2112
1402	106	2507	2113
1403	106	2508	2114
1404	106	2509	2116
1405	106	2510	2118
1406	106	2511	2119
1407	107	2523	2120
1408	107	2524	2121
1409	107	2525	2122
1410	107	2526	2123
1411	107	2527	2125
1412	107	2528	2126
1413	107	2529	2127
1414	107	2530	2128
1415	107	2531	2130
1416	107	2532	2131
1417	107	2533	2132
1418	107	2534	2133
1419	108	2545	2134
1420	108	2546	2136
1421	108	2547	2137
1422	108	2548	2139
1423	108	2549	2140
1424	108	2550	2142
1425	108	2551	2143
1426	108	2552	2144
1427	108	2553	2145
1428	108	2554	2147
1429	108	2555	2148
1430	109	2567	2150
1431	109	2568	2151
1432	109	2569	2152
1433	109	2570	2154
1434	109	2571	2155
1435	109	2572	2157
1436	109	2573	2159
1437	109	2574	2161
1438	109	2575	2163
1439	109	2576	2164
1440	109	2577	2165
1441	109	2578	2166
1442	110	2589	2168
1443	110	2590	2169
1444	110	2591	2170
1445	110	2592	2171
1446	110	2593	2172
1447	110	2594	2173
1448	110	2595	2174
1449	110	2596	2175
1450	110	2597	2176
1451	110	2598	2177
1452	110	2599	2179
1453	110	2600	2180
1454	110	2601	2182
1455	111	2612	2184
1456	111	2613	2185
1457	111	2614	2186
1458	111	2615	2187
1459	111	2616	2188
1460	111	2617	2189
1461	111	2618	2190
