OGNTsort	lexicalEntry	morphology	book	KJVversification	OGNTversification
000376	G5259	PREP	40	40.1.22	40.1.22
000377	G2962	N-GSM	40	40.1.22	40.1.22
000378	G1223	PREP	40	40.1.22	40.1.22
000379	G3588	T-GSM	40	40.1.22	40.1.22
000380	G4396	N-GSM	40	40.1.22	40.1.22
000381	G3004	V-PAP-GSM	40	40.1.22	40.1.22
000382	G2400	INJ	40	40.1.23	40.1.23
000383	G3588	T-NSF	40	40.1.23	40.1.23
000384	G3933	N-NSF	40	40.1.23	40.1.23
000385	G1722	PREP	40	40.1.23	40.1.23
000386	G1064	N-DSF	40	40.1.23	40.1.23
000387	G2192	V-FAI-3S	40	40.1.23	40.1.23
000388	G2532	CONJ	40	40.1.23	40.1.23
000389	G5088	V-FDI-3S	40	40.1.23	40.1.23
000390	G5207	N-ASM	40	40.1.23	40.1.23
000391	G2532	CONJ	40	40.1.23	40.1.23
000392	G2564	V-FAI-3P	40	40.1.23	40.1.23
000393	G3588	T-ASN	40	40.1.23	40.1.23
000394	G3686	N-ASN	40	40.1.23	40.1.23
000395	G846	P-GSM	40	40.1.23	40.1.23
000396	G1694	N-ASM-T	40	40.1.23	40.1.23
000397	G3739	R-NSN	40	40.1.23	40.1.23
000398	G1510	V-PAI-3S	40	40.1.23	40.1.23
000399	G3177	V-PPP-NSN	40	40.1.23	40.1.23
000400	G3326	PREP	40	40.1.23	40.1.23
000401	G1473	P-1GP	40	40.1.23	40.1.23
000402	G3588	T-NSM	40	40.1.23	40.1.23
000403	G2316	N-NSM	40	40.1.23	40.1.23
000404	G1453	V-APP-NSM	40	40.1.24	40.1.24
000405	G1161	CONJ	40	40.1.24	40.1.24
000406	G3588	T-NSM	40	40.1.24	40.1.24
000407	G2501	N-NSM-P	40	40.1.24	40.1.24
000408	G575	PREP	40	40.1.24	40.1.24
000409	G3588	T-GSM	40	40.1.24	40.1.24
000410	G5258	N-GSM	40	40.1.24	40.1.24
000411	G4160	V-AAI-3S	40	40.1.24	40.1.24
000412	G5613	CONJ	40	40.1.24	40.1.24
000413	G4367	V-AAI-3S	40	40.1.24	40.1.24
000414	G846	P-DSM	40	40.1.24	40.1.24
000415	G3588	T-NSM	40	40.1.24	40.1.24
000416	G32	N-NSM	40	40.1.24	40.1.24
000417	G2962	N-GSM	40	40.1.24	40.1.24
000418	G2532	CONJ	40	40.1.24	40.1.24
000419	G3880	V-2AAI-3S	40	40.1.24	40.1.24
000420	G3588	T-ASF	40	40.1.24	40.1.24
000421	G1135	N-ASF	40	40.1.24	40.1.24
000422	G846	P-GSM	40	40.1.24	40.1.24
000423	G2532	CONJ	40	40.1.25	40.1.25
000424	G3756	PRT-N	40	40.1.25	40.1.25
000425	G1097	V-IAI-3S	40	40.1.25	40.1.25
000426	G846	P-ASF	40	40.1.25	40.1.25
000427	G2193	PREP	40	40.1.25	40.1.25
000428	G3739	R-GSM	40	40.1.25	40.1.25
000429	G5088	V-2AAI-3S	40	40.1.25	40.1.25
000430	G5207	N-ASM	40	40.1.25	40.1.25
000431	G2532	CONJ	40	40.1.25	40.1.25
000432	G2564	V-AAI-3S	40	40.1.25	40.1.25
000433	G3588	T-ASN	40	40.1.25	40.1.25
000434	G3686	N-ASN	40	40.1.25	40.1.25
000435	G846	P-GSM	40	40.1.25	40.1.25
000436	G2424	N-ASM-P	40	40.1.25	40.1.25
000437	G3588	T-GSM	40	40.2.1	40.2.1
000438	G1161	CONJ	40	40.2.1	40.2.1
000439	G2424	N-GSM-P	40	40.2.1	40.2.1
000440	G1080	V-APP-GSM	40	40.2.1	40.2.1
000441	G1722	PREP	40	40.2.1	40.2.1
000442	G965	N-DSF-L	40	40.2.1	40.2.1
000443	G3588	T-GSF	40	40.2.1	40.2.1
000444	G2449	N-GSF-L	40	40.2.1	40.2.1
000445	G1722	PREP	40	40.2.1	40.2.1
000446	G2250	N-DPF	40	40.2.1	40.2.1
000447	G2264	N-GSM-P	40	40.2.1	40.2.1
000448	G3588	T-GSM	40	40.2.1	40.2.1
