G3588	T-DPM	｛40.2.6｜40.2.6｝
G2232	N-DPM	｛40.2.6｜40.2.6｝
G2448	N-GSM-L	｛40.2.6｜40.2.6｝
G1537	PREP	｛40.2.6｜40.2.6｝
G4771	P-2GS	｛40.2.6｜40.2.6｝
G1063	CONJ	｛40.2.6｜40.2.6｝
G1831	V-FDI-3S	｛40.2.6｜40.2.6｝
G2233	V-PNP-NSM	｛40.2.6｜40.2.6｝
G3748	R-NSM	｛40.2.6｜40.2.6｝
G4165	V-FAI-3S	｛40.2.6｜40.2.6｝
G3588	T-ASM	｛40.2.6｜40.2.6｝
G2992	N-ASM	｛40.2.6｜40.2.6｝
G1473	P-1GS	｛40.2.6｜40.2.6｝
G3588	T-ASM	｛40.2.6｜40.2.6｝
G2474	N-ASM-L	｛40.2.6｜40.2.6｝
G5119	ADV	｛40.2.7｜40.2.7｝
G2264	N-NSM-P	｛40.2.7｜40.2.7｝
G2977	ADV	｛40.2.7｜40.2.7｝
G2564	V-AAP-NSM	｛40.2.7｜40.2.7｝
G3588	T-APM	｛40.2.7｜40.2.7｝
G3097	N-APM	｛40.2.7｜40.2.7｝
G198	V-AAI-3S	｛40.2.7｜40.2.7｝
G3844	PREP	｛40.2.7｜40.2.7｝
G846	P-GPM	｛40.2.7｜40.2.7｝
G3588	T-ASM	｛40.2.7｜40.2.7｝
G5550	N-ASM	｛40.2.7｜40.2.7｝
G3588	T-GSM	｛40.2.7｜40.2.7｝
G5316	V-PEP-GSM	｛40.2.7｜40.2.7｝
G792	N-GSM	｛40.2.7｜40.2.7｝
G2532	CONJ	｛40.2.8｜40.2.8｝
G3992	V-AAP-NSM	｛40.2.8｜40.2.8｝
G846	P-APM	｛40.2.8｜40.2.8｝
G1519	PREP	｛40.2.8｜40.2.8｝
G965	N-ASF-L	｛40.2.8｜40.2.8｝
G2036	V-2AAI-3S	｛40.2.8｜40.2.8｝
G4198	V-AOP-NPM	｛40.2.8｜40.2.8｝
G1833	V-AAM-2P	｛40.2.8｜40.2.8｝
G199	ADV	｛40.2.8｜40.2.8｝
G4012	PREP	｛40.2.8｜40.2.8｝
G3588	T-GSN	｛40.2.8｜40.2.8｝
G3813	N-GSN	｛40.2.8｜40.2.8｝
G1875	CONJ	｛40.2.8｜40.2.8｝
G1161	CONJ	｛40.2.8｜40.2.8｝
G2147	V-2AAS-2P	｛40.2.8｜40.2.8｝
G518	V-AAM-2P	｛40.2.8｜40.2.8｝
G1473	P-1DS	｛40.2.8｜40.2.8｝
G3704	CONJ	｛40.2.8｜40.2.8｝
G2504	P-1NS-K	｛40.2.8｜40.2.8｝
G2064	V-2AAP-NSM	｛40.2.8｜40.2.8｝
G4352	V-AAS-1S	｛40.2.8｜40.2.8｝
G846	P-DSM	｛40.2.8｜40.2.8｝
G3588	T-NPM	｛40.2.9｜40.2.9｝
G1161	CONJ	｛40.2.9｜40.2.9｝
G191	V-AAP-NPM	｛40.2.9｜40.2.9｝
G3588	T-GSM	｛40.2.9｜40.2.9｝
G935	N-GSM	｛40.2.9｜40.2.9｝
G4198	V-AOI-3P	｛40.2.9｜40.2.9｝
G2532	CONJ	｛40.2.9｜40.2.9｝
G2400	INJ	｛40.2.9｜40.2.9｝
G3588	T-NSM	｛40.2.9｜40.2.9｝
G792	N-NSM	｛40.2.9｜40.2.9｝
G3739	R-ASM	｛40.2.9｜40.2.9｝
G1492	V-2AAI-3P	｛40.2.9｜40.2.9｝
G1722	PREP	｛40.2.9｜40.2.9｝
G3588	T-DSF	｛40.2.9｜40.2.9｝
G395	N-DSF	｛40.2.9｜40.2.9｝
G4254	V-IAI-3S	｛40.2.9｜40.2.9｝
G846	P-APM	｛40.2.9｜40.2.9｝
G2193	CONJ	｛40.2.9｜40.2.9｝
G2064	V-2AAP-NSM	｛40.2.9｜40.2.9｝
G2476	V-API-3S	｛40.2.9｜40.2.9｝
G1883	PREP	｛40.2.9｜40.2.9｝
G3757	ADV	｛40.2.9｜40.2.9｝
G1510	V-IAI-3S	｛40.2.9｜40.2.9｝
G3588	T-NSN	｛40.2.9｜40.2.9｝
G3813	N-NSN	｛40.2.9｜40.2.9｝
G1492	V-2AAP-NPM	｛40.2.10｜40.2.10｝
G1161	CONJ	｛40.2.10｜40.2.10｝
G3588	T-ASM	｛40.2.10｜40.2.10｝
G792	N-ASM	｛40.2.10｜40.2.10｝
G5463	V-2AOI-3P	｛40.2.10｜40.2.10｝
G5479	N-ASF	｛40.2.10｜40.2.10｝
G3173	A-ASF	｛40.2.10｜40.2.10｝
G4970	ADV	｛40.2.10｜40.2.10｝
G2532	CONJ	｛40.2.11｜40.2.11｝
G2064	V-2AAP-NPM	｛40.2.11｜40.2.11｝
G1519	PREP	｛40.2.11｜40.2.11｝
G3588	T-ASF	｛40.2.11｜40.2.11｝
G3614	N-ASF	｛40.2.11｜40.2.11｝
G1492	V-2AAI-3P	｛40.2.11｜40.2.11｝
G3588	T-ASN	｛40.2.11｜40.2.11｝
G3813	N-ASN	｛40.2.11｜40.2.11｝
G3326	PREP	｛40.2.11｜40.2.11｝
G3137	N-GSF-P	｛40.2.11｜40.2.11｝
G3588	T-GSF	｛40.2.11｜40.2.11｝
G3384	N-GSF	｛40.2.11｜40.2.11｝
G846	P-GSM	｛40.2.11｜40.2.11｝
G2532	CONJ	｛40.2.11｜40.2.11｝
G4098	V-2AAP-NPM	｛40.2.11｜40.2.11｝
G4352	V-AAI-3P	｛40.2.11｜40.2.11｝
G846	P-DSM	｛40.2.11｜40.2.11｝
G2532	CONJ	｛40.2.11｜40.2.11｝
G455	V-AAP-NPM	｛40.2.11｜40.2.11｝
G3588	T-APM	｛40.2.11｜40.2.11｝
G2344	N-APM	｛40.2.11｜40.2.11｝
G846	P-GPM	｛40.2.11｜40.2.11｝
G4374	V-AAI-3P	｛40.2.11｜40.2.11｝
G846	P-DSM	｛40.2.11｜40.2.11｝
G1435	N-APN	｛40.2.11｜40.2.11｝
G5557	N-ASM	｛40.2.11｜40.2.11｝
G2532	CONJ	｛40.2.11｜40.2.11｝
G3030	N-ASM	｛40.2.11｜40.2.11｝
G2532	CONJ	｛40.2.11｜40.2.11｝
G4666	N-ASF	｛40.2.11｜40.2.11｝
G2532	CONJ	｛40.2.12｜40.2.12｝
G5537	V-APP-NPM	｛40.2.12｜40.2.12｝
G2596	PREP	｛40.2.12｜40.2.12｝
G3677	N-ASN	｛40.2.12｜40.2.12｝
G3361	PRT-N	｛40.2.12｜40.2.12｝
G344	V-AAN	｛40.2.12｜40.2.12｝
G4314	PREP	｛40.2.12｜40.2.12｝
G2264	N-ASM-P	｛40.2.12｜40.2.12｝
G1223	PREP	｛40.2.12｜40.2.12｝
G243	A-GSF	｛40.2.12｜40.2.12｝
G3598	N-GSF	｛40.2.12｜40.2.12｝
G402	V-AAI-3P	｛40.2.12｜40.2.12｝
G1519	PREP	｛40.2.12｜40.2.12｝
G3588	T-ASF	｛40.2.12｜40.2.12｝
G5561	N-ASF	｛40.2.12｜40.2.12｝
G846	P-GPM	｛40.2.12｜40.2.12｝
G402	V-AAP-GPM	｛40.2.13｜40.2.13｝
G1161	CONJ	｛40.2.13｜40.2.13｝
G846	P-GPM	｛40.2.13｜40.2.13｝
G2400	INJ	｛40.2.13｜40.2.13｝
G32	N-NSM	｛40.2.13｜40.2.13｝
G2962	N-GSM	｛40.2.13｜40.2.13｝
G5316	V-PEI-3S	｛40.2.13｜40.2.13｝
G2596	PREP	｛40.2.13｜40.2.13｝
G3677	N-ASN	｛40.2.13｜40.2.13｝
G3588	T-DSM	｛40.2.13｜40.2.13｝
G2501	N-DSM-P	｛40.2.13｜40.2.13｝
G3004	V-PAP-NSM	｛40.2.13｜40.2.13｝
G1453	V-APP-NSM	｛40.2.13｜40.2.13｝
G3880	V-2AAM-2S	｛40.2.13｜40.2.13｝
G3588	T-ASN	｛40.2.13｜40.2.13｝
G3813	N-ASN	｛40.2.13｜40.2.13｝
G2532	CONJ	｛40.2.13｜40.2.13｝
G3588	T-ASF	｛40.2.13｜40.2.13｝
G3384	N-ASF	｛40.2.13｜40.2.13｝
G846	P-GSM	｛40.2.13｜40.2.13｝
G2532	CONJ	｛40.2.13｜40.2.13｝
G5343	V-PAM-2S	｛40.2.13｜40.2.13｝
G1519	PREP	｛40.2.13｜40.2.13｝
G125	N-ASF-L	｛40.2.13｜40.2.13｝
G2532	CONJ	｛40.2.13｜40.2.13｝
G1510	V-PAM-2S	｛40.2.13｜40.2.13｝
G1563	ADV	｛40.2.13｜40.2.13｝
G2193	CONJ	｛40.2.13｜40.2.13｝
G302	PRT	｛40.2.13｜40.2.13｝
G2036	V-2AAS-1S	｛40.2.13｜40.2.13｝
G4771	P-2DS	｛40.2.13｜40.2.13｝
G3195	V-PAI-3S	｛40.2.13｜40.2.13｝
G1063	CONJ	｛40.2.13｜40.2.13｝
G2264	N-NSM-P	｛40.2.13｜40.2.13｝
G2212	V-PAN	｛40.2.13｜40.2.13｝
G3588	T-ASN	｛40.2.13｜40.2.13｝
G3813	N-ASN	｛40.2.13｜40.2.13｝
G3588	T-GSN	｛40.2.13｜40.2.13｝
G622	V-AAN	｛40.2.13｜40.2.13｝
G846	P-ASN	｛40.2.13｜40.2.13｝
G3588	T-NSM	｛40.2.14｜40.2.14｝
G1161	CONJ	｛40.2.14｜40.2.14｝
G1453	V-APP-NSM	｛40.2.14｜40.2.14｝
G3880	V-2AAI-3S	｛40.2.14｜40.2.14｝
G3588	T-ASN	｛40.2.14｜40.2.14｝
G3813	N-ASN	｛40.2.14｜40.2.14｝
G2532	CONJ	｛40.2.14｜40.2.14｝
G3588	T-ASF	｛40.2.14｜40.2.14｝
G3384	N-ASF	｛40.2.14｜40.2.14｝
G846	P-GSM	｛40.2.14｜40.2.14｝
G3571	N-GSF	｛40.2.14｜40.2.14｝
G2532	CONJ	｛40.2.14｜40.2.14｝
G402	V-AAI-3S	｛40.2.14｜40.2.14｝
G1519	PREP	｛40.2.14｜40.2.14｝
G125	N-ASF-L	｛40.2.14｜40.2.14｝
G2532	CONJ	｛40.2.15｜40.2.15｝
G1510	V-IAI-3S	｛40.2.15｜40.2.15｝
G1563	ADV	｛40.2.15｜40.2.15｝
G2193	PREP	｛40.2.15｜40.2.15｝
G3588	T-GSF	｛40.2.15｜40.2.15｝
G5054	N-GSF	｛40.2.15｜40.2.15｝
G2264	N-GSM-P	｛40.2.15｜40.2.15｝
G2443	CONJ	｛40.2.15｜40.2.15｝
G4137	V-APS-3S	｛40.2.15｜40.2.15｝
G3588	T-NSN	｛40.2.15｜40.2.15｝
G2036	V-APP-NSN	｛40.2.15｜40.2.15｝
G5259	PREP	｛40.2.15｜40.2.15｝
G2962	N-GSM	｛40.2.15｜40.2.15｝
G1223	PREP	｛40.2.15｜40.2.15｝
G3588	T-GSM	｛40.2.15｜40.2.15｝
G4396	N-GSM	｛40.2.15｜40.2.15｝
G3004	V-PAP-GSM	｛40.2.15｜40.2.15｝
G1537	PREP	｛40.2.15｜40.2.15｝
G125	N-GSF-L	｛40.2.15｜40.2.15｝
G2564	V-AAI-1S	｛40.2.15｜40.2.15｝
G3588	T-ASM	｛40.2.15｜40.2.15｝
G5207	N-ASM	｛40.2.15｜40.2.15｝
G1473	P-1GS	｛40.2.15｜40.2.15｝
G5119	ADV	｛40.2.16｜40.2.16｝
G2264	N-NSM-P	｛40.2.16｜40.2.16｝
G1492	V-2AAP-NSM	｛40.2.16｜40.2.16｝
G3754	CONJ	｛40.2.16｜40.2.16｝
G1702	V-API-3S	｛40.2.16｜40.2.16｝
G5259	PREP	｛40.2.16｜40.2.16｝
G3588	T-GPM	｛40.2.16｜40.2.16｝
G3097	N-GPM	｛40.2.16｜40.2.16｝
G2373	V-API-3S	｛40.2.16｜40.2.16｝
G3029	ADV	｛40.2.16｜40.2.16｝
G2532	CONJ	｛40.2.16｜40.2.16｝
G649	V-AAP-NSM	｛40.2.16｜40.2.16｝
G337	V-2AAI-3S	｛40.2.16｜40.2.16｝
G3956	A-APM	｛40.2.16｜40.2.16｝
G3588	T-APM	｛40.2.16｜40.2.16｝
G3816	N-APM	｛40.2.16｜40.2.16｝
G3588	T-APM	｛40.2.16｜40.2.16｝
G1722	PREP	｛40.2.16｜40.2.16｝
G965	N-DSF-L	｛40.2.16｜40.2.16｝
G2532	CONJ	｛40.2.16｜40.2.16｝
G1722	PREP	｛40.2.16｜40.2.16｝
G3956	A-DPN	｛40.2.16｜40.2.16｝
G3588	T-DPN	｛40.2.16｜40.2.16｝
G3725	N-DPN	｛40.2.16｜40.2.16｝
G846	P-GSF	｛40.2.16｜40.2.16｝
G575	PREP	｛40.2.16｜40.2.16｝
G1332	A-GSM	｛40.2.16｜40.2.16｝
G2532	CONJ	｛40.2.16｜40.2.16｝
G6053	ADV	｛40.2.16｜40.2.16｝
G2596	PREP	｛40.2.16｜40.2.16｝
G3588	T-ASM	｛40.2.16｜40.2.16｝
G5550	N-ASM	｛40.2.16｜40.2.16｝
G3739	R-ASM	｛40.2.16｜40.2.16｝
G198	V-AAI-3S	｛40.2.16｜40.2.16｝
G3844	PREP	｛40.2.16｜40.2.16｝
G3588	T-GPM	｛40.2.16｜40.2.16｝
G3097	N-GPM	｛40.2.16｜40.2.16｝
G5119	ADV	｛40.2.17｜40.2.17｝
G4137	V-API-3S	｛40.2.17｜40.2.17｝
G3588	T-NSN	｛40.2.17｜40.2.17｝
G2036	V-APP-NSN	｛40.2.17｜40.2.17｝
G1223	PREP	｛40.2.17｜40.2.17｝
G2408	N-GSM-P	｛40.2.17｜40.2.17｝
G3588	T-GSM	｛40.2.17｜40.2.17｝
G4396	N-GSM	｛40.2.17｜40.2.17｝
G3004	V-PAP-GSM	｛40.2.17｜40.2.17｝
G5456	N-NSF	｛40.2.18｜40.2.18｝
G1722	PREP	｛40.2.18｜40.2.18｝
G4471	N-DSF-L	｛40.2.18｜40.2.18｝
G191	V-API-3S	｛40.2.18｜40.2.18｝
G2805	N-NSM	｛40.2.18｜40.2.18｝
G2532	CONJ	｛40.2.18｜40.2.18｝
G3602	N-NSM	｛40.2.18｜40.2.18｝
G4183	A-NSM	｛40.2.18｜40.2.18｝
G4478	N-NSF-P	｛40.2.18｜40.2.18｝
G2799	V-PAP-NSF	｛40.2.18｜40.2.18｝
G3588	T-APN	｛40.2.18｜40.2.18｝
G5043	N-APN	｛40.2.18｜40.2.18｝
G846	P-GSF	｛40.2.18｜40.2.18｝
G2532	CONJ	｛40.2.18｜40.2.18｝
G3756	PRT-N	｛40.2.18｜40.2.18｝
G2309	V-IAI-3S	｛40.2.18｜40.2.18｝
G3870	V-APN	｛40.2.18｜40.2.18｝
G3754	CONJ	｛40.2.18｜40.2.18｝
G3756	PRT-N	｛40.2.18｜40.2.18｝
G1510	V-PAI-3P	｛40.2.18｜40.2.18｝
G5053	V-AAP-GSM	｛40.2.19｜40.2.19｝
G1161	CONJ	｛40.2.19｜40.2.19｝
G3588	T-GSM	｛40.2.19｜40.2.19｝
G2264	N-GSM-P	｛40.2.19｜40.2.19｝
G2400	INJ	｛40.2.19｜40.2.19｝
G32	N-NSM	｛40.2.19｜40.2.19｝
G2962	N-GSM	｛40.2.19｜40.2.19｝
G5316	V-PEI-3S	｛40.2.19｜40.2.19｝
G2596	PREP	｛40.2.19｜40.2.19｝
G3677	N-ASN	｛40.2.19｜40.2.19｝
G3588	T-DSM	｛40.2.19｜40.2.19｝
G2501	N-DSM-P	｛40.2.19｜40.2.19｝
G1722	PREP	｛40.2.19｜40.2.19｝
G125	N-DSF-L	｛40.2.19｜40.2.19｝
G3004	V-PAP-NSM	｛40.2.20｜40.2.20｝
G1453	V-APP-NSM	｛40.2.20｜40.2.20｝
G3880	V-2AAM-2S	｛40.2.20｜40.2.20｝
G3588	T-ASN	｛40.2.20｜40.2.20｝
G3813	N-ASN	｛40.2.20｜40.2.20｝
G2532	CONJ	｛40.2.20｜40.2.20｝
G3588	T-ASF	｛40.2.20｜40.2.20｝
G3384	N-ASF	｛40.2.20｜40.2.20｝
G846	P-GSM	｛40.2.20｜40.2.20｝
G2532	CONJ	｛40.2.20｜40.2.20｝
G4198	V-PNM-2S	｛40.2.20｜40.2.20｝
G1519	PREP	｛40.2.20｜40.2.20｝
G1093	N-ASF	｛40.2.20｜40.2.20｝
G2474	N-GSM-L	｛40.2.20｜40.2.20｝
G2348	V-RAI-3P	｛40.2.20｜40.2.20｝
G1063	CONJ	｛40.2.20｜40.2.20｝
G3588	T-NPM	｛40.2.20｜40.2.20｝
G2212	V-PAP-NPM	｛40.2.20｜40.2.20｝
G3588	T-ASF	｛40.2.20｜40.2.20｝
G5590	N-ASF	｛40.2.20｜40.2.20｝
G3588	T-GSN	｛40.2.20｜40.2.20｝
G3813	N-GSN	｛40.2.20｜40.2.20｝
G3588	T-NSM	｛40.2.21｜40.2.21｝
G1161	CONJ	｛40.2.21｜40.2.21｝
G1453	V-APP-NSM	｛40.2.21｜40.2.21｝
G3880	V-2AAI-3S	｛40.2.21｜40.2.21｝
G3588	T-ASN	｛40.2.21｜40.2.21｝
G3813	N-ASN	｛40.2.21｜40.2.21｝
G2532	CONJ	｛40.2.21｜40.2.21｝
G3588	T-ASF	｛40.2.21｜40.2.21｝
G3384	N-ASF	｛40.2.21｜40.2.21｝
G846	P-GSM	｛40.2.21｜40.2.21｝
G2532	CONJ	｛40.2.21｜40.2.21｝
G1525	V-2AAI-3S	｛40.2.21｜40.2.21｝
G1519	PREP	｛40.2.21｜40.2.21｝
G1093	N-ASF	｛40.2.21｜40.2.21｝
G2474	N-GSM-L	｛40.2.21｜40.2.21｝
G191	V-AAP-NSM	｛40.2.22｜40.2.22｝
G1161	CONJ	｛40.2.22｜40.2.22｝
G3754	CONJ	｛40.2.22｜40.2.22｝
G745	N-NSM-P	｛40.2.22｜40.2.22｝
G936	V-PAI-3S	｛40.2.22｜40.2.22｝
G3588	T-GSF	｛40.2.22｜40.2.22｝
G2449	N-GSF-L	｛40.2.22｜40.2.22｝
G473	PREP	｛40.2.22｜40.2.22｝
G3588	T-GSM	｛40.2.22｜40.2.22｝
G3962	N-GSM	｛40.2.22｜40.2.22｝
G846	P-GSM	｛40.2.22｜40.2.22｝
G2264	N-GSM-P	｛40.2.22｜40.2.22｝
G5399	V-AOI-3S	｛40.2.22｜40.2.22｝
G1563	ADV	｛40.2.22｜40.2.22｝
G565	V-2AAN	｛40.2.22｜40.2.22｝
G5537	V-APP-NSM	｛40.2.22｜40.2.22｝
G1161	CONJ	｛40.2.22｜40.2.22｝
G2596	PREP	｛40.2.22｜40.2.22｝
G3677	N-ASN	｛40.2.22｜40.2.22｝
G402	V-AAI-3S	｛40.2.22｜40.2.22｝
G1519	PREP	｛40.2.22｜40.2.22｝
G3588	T-APN	｛40.2.22｜40.2.22｝
G3313	N-APN	｛40.2.22｜40.2.22｝
G3588	T-GSF	｛40.2.22｜40.2.22｝
G1056	N-GSF-L	｛40.2.22｜40.2.22｝
G2532	CONJ	｛40.2.23｜40.2.23｝
G2064	V-2AAP-NSM	｛40.2.23｜40.2.23｝
G2730	V-AAI-3S	｛40.2.23｜40.2.23｝
G1519	PREP	｛40.2.23｜40.2.23｝
G4172	N-ASF	｛40.2.23｜40.2.23｝
G3004	V-PPP-ASF	｛40.2.23｜40.2.23｝
G3478	N-ASF-L	｛40.2.23｜40.2.23｝
G3704	CONJ	｛40.2.23｜40.2.23｝
G4137	V-APS-3S	｛40.2.23｜40.2.23｝
G3588	T-NSN	｛40.2.23｜40.2.23｝
G2036	V-APP-NSN	｛40.2.23｜40.2.23｝
G1223	PREP	｛40.2.23｜40.2.23｝
G3588	T-GPM	｛40.2.23｜40.2.23｝
G4396	N-GPM	｛40.2.23｜40.2.23｝
G3754	ADV	｛40.2.23｜40.2.23｝
G3480	N-NSM-LG	｛40.2.23｜40.2.23｝
G2564	V-FPI-3S	｛40.2.23｜40.2.23｝
G1722	PREP	｛40.3.1｜40.3.1｝
G1161	CONJ	｛40.3.1｜40.3.1｝
G3588	T-DPF	｛40.3.1｜40.3.1｝
G2250	N-DPF	｛40.3.1｜40.3.1｝
G1565	D-DPF	｛40.3.1｜40.3.1｝
G3854	V-PNI-3S	｛40.3.1｜40.3.1｝
G2491	N-NSM-P	｛40.3.1｜40.3.1｝
G3588	T-NSM	｛40.3.1｜40.3.1｝
G910	N-NSM	｛40.3.1｜40.3.1｝
G2784	V-PAP-NSM	｛40.3.1｜40.3.1｝
G1722	PREP	｛40.3.1｜40.3.1｝
G3588	T-DSF	｛40.3.1｜40.3.1｝
G2048	A-DSF	｛40.3.1｜40.3.1｝
G3588	T-GSF	｛40.3.1｜40.3.1｝
G2449	N-GSF-L	｛40.3.1｜40.3.1｝
G2532	CONJ	｛40.3.2｜40.3.2｝
G3004	V-PAP-NSM	｛40.3.2｜40.3.2｝
G3340	V-PAM-2P	｛40.3.2｜40.3.2｝
G1448	V-RAI-3S	｛40.3.2｜40.3.2｝
G1063	CONJ	｛40.3.2｜40.3.2｝
G3588	T-NSF	｛40.3.2｜40.3.2｝
G932	N-NSF	｛40.3.2｜40.3.2｝
G3588	T-GPM	｛40.3.2｜40.3.2｝
G3772	N-GPM	｛40.3.2｜40.3.2｝
G3778	D-NSM	｛40.3.3｜40.3.3｝
G1063	CONJ	｛40.3.3｜40.3.3｝
G1510	V-PAI-3S	｛40.3.3｜40.3.3｝
G3588	T-NSM	｛40.3.3｜40.3.3｝
G2036	V-APP-NSM	｛40.3.3｜40.3.3｝
G1223	PREP	｛40.3.3｜40.3.3｝
G2268	N-GSM-P	｛40.3.3｜40.3.3｝
G3588	T-GSM	｛40.3.3｜40.3.3｝
G4396	N-GSM	｛40.3.3｜40.3.3｝
G3004	V-PAP-GSM	｛40.3.3｜40.3.3｝
G5456	N-NSF	｛40.3.3｜40.3.3｝
G994	V-PAP-GSM	｛40.3.3｜40.3.3｝
G1722	PREP	｛40.3.3｜40.3.3｝
G3588	T-DSF	｛40.3.3｜40.3.3｝
G2048	A-DSF	｛40.3.3｜40.3.3｝
G2090	V-AAM-2P	｛40.3.3｜40.3.3｝
G3588	T-ASF	｛40.3.3｜40.3.3｝
G3598	N-ASF	｛40.3.3｜40.3.3｝
G2962	N-GSM	｛40.3.3｜40.3.3｝
G2117	A-APF	｛40.3.3｜40.3.3｝
G4160	V-PAM-2P	｛40.3.3｜40.3.3｝
G3588	T-APF	｛40.3.3｜40.3.3｝
G5147	N-APF	｛40.3.3｜40.3.3｝
G846	P-GSM	｛40.3.3｜40.3.3｝
G846	P-NSM	｛40.3.4｜40.3.4｝
G1161	CONJ	｛40.3.4｜40.3.4｝
G3588	T-NSM	｛40.3.4｜40.3.4｝
G2491	N-NSM-P	｛40.3.4｜40.3.4｝
G2192	V-IAI-3S	｛40.3.4｜40.3.4｝
G3588	T-ASN	｛40.3.4｜40.3.4｝
G1742	N-ASN	｛40.3.4｜40.3.4｝
G846	P-GSM	｛40.3.4｜40.3.4｝
G575	PREP	｛40.3.4｜40.3.4｝
G2359	N-GPF	｛40.3.4｜40.3.4｝
G2574	N-GSF	｛40.3.4｜40.3.4｝
G2532	CONJ	｛40.3.4｜40.3.4｝
G2223	N-ASF	｛40.3.4｜40.3.4｝
G1193	A-ASF	｛40.3.4｜40.3.4｝
G4012	PREP	｛40.3.4｜40.3.4｝
G3588	T-ASF	｛40.3.4｜40.3.4｝
G3751	N-ASF	｛40.3.4｜40.3.4｝
G846	P-GSM	｛40.3.4｜40.3.4｝
G3588	T-NSF	｛40.3.4｜40.3.4｝
G1161	CONJ	｛40.3.4｜40.3.4｝
G5160	N-NSF	｛40.3.4｜40.3.4｝
G1510	V-IAI-3S	｛40.3.4｜40.3.4｝
G846	P-GSM	｛40.3.4｜40.3.4｝
G200	N-NPF	｛40.3.4｜40.3.4｝
G2532	CONJ	｛40.3.4｜40.3.4｝
G3192	N-NSN	｛40.3.4｜40.3.4｝
G66	A-NSN	｛40.3.4｜40.3.4｝
G5119	ADV	｛40.3.5｜40.3.5｝
G1607	V-INI-3S	｛40.3.5｜40.3.5｝
G4314	PREP	｛40.3.5｜40.3.5｝
G846	P-ASM	｛40.3.5｜40.3.5｝
G2414	N-NPN-L	｛40.3.5｜40.3.5｝
G2532	CONJ	｛40.3.5｜40.3.5｝
G3956	A-NSF	｛40.3.5｜40.3.5｝
G3588	T-NSF	｛40.3.5｜40.3.5｝
G2449	N-NSF-L	｛40.3.5｜40.3.5｝
G2532	CONJ	｛40.3.5｜40.3.5｝
G3956	A-NSF	｛40.3.5｜40.3.5｝
G3588	T-NSF	｛40.3.5｜40.3.5｝
G4066	A-NSF	｛40.3.5｜40.3.5｝
G3588	T-GSM	｛40.3.5｜40.3.5｝
G2446	N-GSM-L	｛40.3.5｜40.3.5｝
G2532	CONJ	｛40.3.6｜40.3.6｝
G907	V-IPI-3P	｛40.3.6｜40.3.6｝
G1722	PREP	｛40.3.6｜40.3.6｝
G3588	T-DSM	｛40.3.6｜40.3.6｝
G2446	N-DSM-L	｛40.3.6｜40.3.6｝
G4215	N-DSM	｛40.3.6｜40.3.6｝
G5259	PREP	｛40.3.6｜40.3.6｝
G846	P-GSM	｛40.3.6｜40.3.6｝
G1843	V-PMP-NPM	｛40.3.6｜40.3.6｝
G3588	T-APF	｛40.3.6｜40.3.6｝
G266	N-APF	｛40.3.6｜40.3.6｝
G846	P-GPM	｛40.3.6｜40.3.6｝
G1492	V-2AAP-NSM	｛40.3.7｜40.3.7｝
G1161	CONJ	｛40.3.7｜40.3.7｝
G4183	A-APM	｛40.3.7｜40.3.7｝
G3588	T-GPM	｛40.3.7｜40.3.7｝
G5330	N-GPM-T	｛40.3.7｜40.3.7｝
G2532	CONJ	｛40.3.7｜40.3.7｝
G4523	N-GPM-T	｛40.3.7｜40.3.7｝
G2064	V-PNP-APM	｛40.3.7｜40.3.7｝
G1909	PREP	｛40.3.7｜40.3.7｝
G3588	T-ASN	｛40.3.7｜40.3.7｝
G908	N-ASN	｛40.3.7｜40.3.7｝
G846	P-GSM	｛40.3.7｜40.3.7｝
G2036	V-2AAI-3S	｛40.3.7｜40.3.7｝
G846	P-DPM	｛40.3.7｜40.3.7｝
G1081	N-VPN	｛40.3.7｜40.3.7｝
G2191	N-GPF	｛40.3.7｜40.3.7｝
G5101	I-NSM	｛40.3.7｜40.3.7｝
G5263	V-AAI-3S	｛40.3.7｜40.3.7｝
G4771	P-2DP	｛40.3.7｜40.3.7｝
G5343	V-2AAN	｛40.3.7｜40.3.7｝
G575	PREP	｛40.3.7｜40.3.7｝
G3588	T-GSF	｛40.3.7｜40.3.7｝
G3195	V-PAP-GSF	｛40.3.7｜40.3.7｝
G3709	N-GSF	｛40.3.7｜40.3.7｝
G4160	V-AAM-2P	｛40.3.8｜40.3.8｝
G3767	CONJ	｛40.3.8｜40.3.8｝
G2590	N-ASM	｛40.3.8｜40.3.8｝
G514	A-ASM	｛40.3.8｜40.3.8｝
G3588	T-GSF	｛40.3.8｜40.3.8｝
G3341	N-GSF	｛40.3.8｜40.3.8｝
G2532	CONJ	｛40.3.9｜40.3.9｝
G3361	PRT-N	｛40.3.9｜40.3.9｝
G1380	V-AAS-2P	｛40.3.9｜40.3.9｝
G3004	V-PAN	｛40.3.9｜40.3.9｝
G1722	PREP	｛40.3.9｜40.3.9｝
G1438	F-2DPM	｛40.3.9｜40.3.9｝
G3962	N-ASM	｛40.3.9｜40.3.9｝
G2192	V-PAI-1P	｛40.3.9｜40.3.9｝
G3588	T-ASM	｛40.3.9｜40.3.9｝
G11	N-ASM-P	｛40.3.9｜40.3.9｝
G3004	V-PAI-1S	｛40.3.9｜40.3.9｝
G1063	CONJ	｛40.3.9｜40.3.9｝
G4771	P-2DP	｛40.3.9｜40.3.9｝
