OGNTsort	extendedStrNo	RMAC	description
000495	G3588	T-GSM	『T-GSM』
000496	G2992	N-GSM	『N-GSM』
000497	G4441	V-INI-3S	『V-INI-3S』
000498	G3844	PREP	『PREP』
000499	G846	P-GPM	『P-GPM』
000500	G4226	ADV-I	『ADV-I』
000501	G3588	T-NSM	『T-NSM』
000502	G5547	N-NSM-T	『N-NSM-T』
000503	G1080	V-PPI-3S	『V-PPI-3S』
000504	G3588	T-NPM	『T-NPM』
000505	G1161	CONJ	『CONJ』
000506	G2036	V-2AAI-3P	『V-2AAI-3P』
000507	G846	P-DSM	『P-DSM』
000508	G1722	PREP	『PREP』
000509	G965	N-DSF-L	『N-DSF-L』
000510	G3588	T-GSF	『T-GSF』
000511	G2449	N-GSF-L	『N-GSF-L』
000512	G3779	ADV	『ADV』
000513	G1063	CONJ	『CONJ』
000514	G1125	V-RPI-3S	『V-RPI-3S』
000515	G1223	PREP	『PREP』
000516	G3588	T-GSM	『T-GSM』
000517	G4396	N-GSM	『N-GSM』
000518	G2532	CONJ	『CONJ』
000519	G4771	P-2NS	『P-2NS』
000520	G965	N-VSF-L	『N-VSF-L』
000521	G1093	N-VSF	『N-VSF』
000522	G2448	N-GSM-L	『N-GSM-L』
000523	G3760	ADV	『ADV』
000524	G1646	A-NSF	『A-NSF』
000525	G1510	V-PAI-2S	『V-PAI-2S』
000526	G1722	PREP	『PREP』
000527	G3588	T-DPM	『T-DPM』
000528	G2232	N-DPM	『N-DPM』
000529	G2448	N-GSM-L	『N-GSM-L』
000530	G1537	PREP	『PREP』
000531	G4771	P-2GS	『P-2GS』
000532	G1063	CONJ	『CONJ』
000533	G1831	V-FDI-3S	『V-FDI-3S』
000534	G2233	V-PNP-NSM	『V-PNP-NSM』
000535	G3748	R-NSM	『R-NSM』
000536	G4165	V-FAI-3S	『V-FAI-3S』
000537	G3588	T-ASM	『T-ASM』
000538	G2992	N-ASM	『N-ASM』
000539	G1473	P-1GS	『P-1GS』
000540	G3588	T-ASM	『T-ASM』
000541	G2474	N-ASM-L	『N-ASM-L』
000542	G5119	ADV	『ADV』
000543	G2264	N-NSM-P	『N-NSM-P』
000544	G2977	ADV	『ADV』
000545	G2564	V-AAP-NSM	『V-AAP-NSM』
000546	G3588	T-APM	『T-APM』
000547	G3097	N-APM	『N-APM』
000548	G198	V-AAI-3S	『V-AAI-3S』
000549	G3844	PREP	『PREP』
000550	G846	P-GPM	『P-GPM』
000551	G3588	T-ASM	『T-ASM』
000552	G5550	N-ASM	『N-ASM』
000553	G3588	T-GSM	『T-GSM』
000554	G5316	V-PEP-GSM	『V-PEP-GSM』
000555	G792	N-GSM	『N-GSM』
000556	G2532	CONJ	『CONJ』
000557	G3992	V-AAP-NSM	『V-AAP-NSM』
000558	G846	P-APM	『P-APM』
000559	G1519	PREP	『PREP』
000560	G965	N-ASF-L	『N-ASF-L』
000561	G2036	V-2AAI-3S	『V-2AAI-3S』
000562	G4198	V-AOP-NPM	『V-AOP-NPM』
000563	G1833	V-AAM-2P	『V-AAM-2P』
000564	G199	ADV	『ADV』
000565	G4012	PREP	『PREP』
000566	G3588	T-GSN	『T-GSN』
000567	G3813	N-GSN	『N-GSN』
000568	G1875	CONJ	『CONJ』
000569	G1161	CONJ	『CONJ』
000570	G2147	V-2AAS-2P	『V-2AAS-2P』
000571	G518	V-AAM-2P	『V-AAM-2P』
000572	G1473	P-1DS	『P-1DS』
000573	G3704	CONJ	『CONJ』
000574	G2504	P-1NS-K	『P-1NS-K』
000575	G2064	V-2AAP-NSM	『V-2AAP-NSM』
000576	G4352	V-AAS-1S	『V-AAS-1S』
000577	G846	P-DSM	『P-DSM』
000578	G3588	T-NPM	『T-NPM』
000579	G1161	CONJ	『CONJ』
000580	G191	V-AAP-NPM	『V-AAP-NPM』
000581	G3588	T-GSM	『T-GSM』
000582	G935	N-GSM	『N-GSM』
000583	G4198	V-AOI-3P	『V-AOI-3P』
000584	G2532	CONJ	『CONJ』
000585	G2400	INJ	『INJ』
000586	G3588	T-NSM	『T-NSM』
000587	G792	N-NSM	『N-NSM』
000588	G3739	R-ASM	『R-ASM』
000589	G1492	V-2AAI-3P	『V-2AAI-3P』
000590	G1722	PREP	『PREP』
000591	G3588	T-DSF	『T-DSF』
000592	G395	N-DSF	『N-DSF』
000593	G4254	V-IAI-3S	『V-IAI-3S』
000594	G846	P-APM	『P-APM』
000595	G2193	CONJ	『CONJ』
000596	G2064	V-2AAP-NSM	『V-2AAP-NSM』
000597	G2476	V-API-3S	『V-API-3S』
000598	G1883	PREP	『PREP』
000599	G3757	ADV	『ADV』
000600	G1510	V-IAI-3S	『V-IAI-3S』
000601	G3588	T-NSN	『T-NSN』
000602	G3813	N-NSN	『N-NSN』
000603	G1492	V-2AAP-NPM	『V-2AAP-NPM』
000604	G1161	CONJ	『CONJ』
000605	G3588	T-ASM	『T-ASM』
000606	G792	N-ASM	『N-ASM』
000607	G5463	V-2AOI-3P	『V-2AOI-3P』
000608	G5479	N-ASF	『N-ASF』
000609	G3173	A-ASF	『A-ASF』
000610	G4970	ADV	『ADV』
000611	G2532	CONJ	『CONJ』
000612	G2064	V-2AAP-NPM	『V-2AAP-NPM』
000613	G1519	PREP	『PREP』
000614	G3588	T-ASF	『T-ASF』
000615	G3614	N-ASF	『N-ASF』
000616	G1492	V-2AAI-3P	『V-2AAI-3P』
000617	G3588	T-ASN	『T-ASN』
000618	G3813	N-ASN	『N-ASN』
000619	G3326	PREP	『PREP』
000620	G3137	N-GSF-P	『N-GSF-P』
000621	G3588	T-GSF	『T-GSF』
000622	G3384	N-GSF	『N-GSF』
000623	G846	P-GSM	『P-GSM』
000624	G2532	CONJ	『CONJ』
000625	G4098	V-2AAP-NPM	『V-2AAP-NPM』
